1	上海	上海	2023-04-01	21	10	多云~晴	东风	2	2023-04-26 10:02:47
2	上海	上海	2023-04-02	23	12	晴	西北风	1	2023-04-26 10:02:47
3	上海	上海	2023-04-03	21	15	多云~小雨	北风	1	2023-04-26 10:02:47
4	上海	上海	2023-04-04	20	13	多云~小雨	东南风	1	2023-04-26 10:02:47
5	上海	上海	2023-04-05	17	10	多云	西北风	2	2023-04-26 10:02:47
6	上海	上海	2023-04-06	13	10	小雨~多云	西北风	2	2023-04-26 10:02:47
7	上海	上海	2023-04-07	17	8	多云	东北风	2	2023-04-26 10:02:47
8	上海	上海	2023-04-08	19	10	晴	东风	1	2023-04-26 10:02:47
9	上海	上海	2023-04-09	20	12	晴	西北风	1	2023-04-26 10:02:47
10	上海	上海	2023-04-10	26	17	多云	西风	1	2023-04-26 10:02:47
11	上海	上海	2023-04-11	24	13	多云	北风	1	2023-04-26 10:02:47
12	上海	上海	2023-04-12	20	13	多云	北风	1	2023-04-26 10:02:47
13	上海	上海	2023-04-13	25	14	阴	西北风	1	2023-04-26 10:02:47
14	上海	上海	2023-04-14	23	16	多云	北风	3	2023-04-26 10:02:47
15	上海	上海	2023-04-15	22	15	多云	西南风	3	2023-04-26 10:02:47
16	上海	上海	2023-04-16	25	13	晴	北风	1	2023-04-26 10:02:47
17	上海	上海	2023-04-17	25	14	晴	南风	3	2023-04-26 10:02:47
18	上海	上海	2023-04-18	31	19	多云	东风	1	2023-04-26 10:02:47
19	上海	上海	2023-04-19	26	14	晴	北风	3	2023-04-26 10:02:47
20	上海	上海	2023-04-20	22	16	多云	北风	1	2023-04-26 10:02:47
21	上海	上海	2023-04-21	20	12	多云	北风	3	2023-04-26 10:02:47
22	上海	上海	2023-04-22	21	10	多云	东风	2	2023-04-26 10:02:47
23	上海	上海	2023-04-23	17	14	小雨	北风	1	2023-04-26 10:02:47
24	上海	上海	2023-03-01	16	6	多云	东北风	1	2023-04-26 10:02:50
25	上海	上海	2023-03-02	13	4	多云~晴	东风	2	2023-04-26 10:02:50
26	上海	上海	2023-03-03	13	6	多云	北风	1	2023-04-26 10:02:50
27	上海	上海	2023-03-04	18	7	晴	东南风	2	2023-04-26 10:02:50
28	上海	上海	2023-03-05	18	9	晴	东南风	2	2023-04-26 10:02:50
29	上海	上海	2023-03-06	23	10	晴~多云	西北风	1	2023-04-26 10:02:50
30	上海	上海	2023-03-07	23	12	多云	南风	3	2023-04-26 10:02:50
31	上海	上海	2023-03-08	24	14	多云	北风	2	2023-04-26 10:02:50
32	上海	上海	2023-03-09	25	13	多云~晴	东北风	1	2023-04-26 10:02:50
33	上海	上海	2023-03-10	27	13	晴~多云	东南风	1	2023-04-26 10:02:50
34	上海	上海	2023-03-11	22	10	多云~小雨	北风	1	2023-04-26 10:02:50
35	上海	上海	2023-03-12	12	5	小雨~多云	南风	1	2023-04-26 10:02:50
36	上海	上海	2023-03-13	14	7	多云~晴	东北风	1	2023-04-26 10:02:50
37	上海	上海	2023-03-14	20	11	晴	东南风	3	2023-04-26 10:02:50
38	上海	上海	2023-03-15	23	9	多云	东北风	3	2023-04-26 10:02:50
39	上海	上海	2023-03-16	15	8	多云~小雨	东北风	1	2023-04-26 10:02:50
40	上海	上海	2023-03-17	9	7	大雨~多云	北风	1	2023-04-26 10:02:50
41	上海	上海	2023-03-18	11	7	多云	北风	1	2023-04-26 10:02:50
42	上海	上海	2023-03-19	13	10	多云~小雨	北风	1	2023-04-26 10:02:50
43	上海	上海	2023-03-20	14	12	多云~中雨	东南风	2	2023-04-26 10:02:50
44	上海	上海	2023-03-21	15	13	小雨	东风	1	2023-04-26 10:02:50
45	上海	上海	2023-03-22	17	11	小雨	北风	2	2023-04-26 10:02:50
46	上海	上海	2023-03-23	13	9	小雨	北风	1	2023-04-26 10:02:50
47	上海	上海	2023-03-24	11	7	小雨~阴	东北风	1	2023-04-26 10:02:50
48	上海	上海	2023-03-25	10	7	多云~阴	东风	1	2023-04-26 10:02:50
49	上海	上海	2023-03-26	16	7	多云~晴	东南风	1	2023-04-26 10:02:50
50	上海	上海	2023-03-27	18	7	多云~晴	东南风	2	2023-04-26 10:02:50
51	上海	上海	2023-03-28	20	10	多云	北风	1	2023-04-26 10:02:50
52	上海	上海	2023-03-29	16	11	多云~小雨	北风	2	2023-04-26 10:02:50
53	上海	上海	2023-03-30	14	11	小雨~阴	东北风	2	2023-04-26 10:02:50
54	上海	上海	2023-03-31	18	11	多云~阴	东风	2	2023-04-26 10:02:50
55	上海	上海	2023-02-01	13	3	晴	东南风	1	2023-04-26 10:02:53
56	上海	上海	2023-02-02	6	4	多云	西南风	1	2023-04-26 10:02:53
57	上海	上海	2023-02-03	8	2	多云	东风	1	2023-04-26 10:02:53
58	上海	上海	2023-02-04	9	5	多云	东风	3	2023-04-26 10:02:53
59	上海	上海	2023-02-05	10	8	多云	东风	1	2023-04-26 10:02:53
60	上海	上海	2023-02-06	10	7	小雨	北风	1	2023-04-26 10:02:53
61	上海	上海	2023-02-07	12	6	多云	东北风	2	2023-04-26 10:02:53
62	上海	上海	2023-02-08	10	7	多云	东风	1	2023-04-26 10:02:53
63	上海	上海	2023-02-09	9	6	中雨	西北风	2	2023-04-26 10:02:53
64	上海	上海	2023-02-10	8	6	多云	东风	2	2023-04-26 10:02:53
